CALLS_OI,CALLS_Chng_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net_Chng,CALLS_Bid_Qty,CALLS_Bid_Price,CALLS_Ask_Price,CALLS_Ask_Qty,Strike_Price,PUTS_Bid_Qty,PUTS_Bid_Price,PUTS_Ask_Price,PUTS_Ask_Qty,PUTS_Net_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng_in_OI,PUTS_OI
0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0
2400,0,0,0,187.5,0,0,0,0,0,550,1200,0.05,0.85,1200,0,0.2,0,0,0,1200
0,0,0,0,0,0,0,0,0,0,560,1200,0.05,3,1200,0,0,0,0,0,0
14400,0,0,0,174,0,0,0,0,0,570,1200,0.05,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,580,1200,0.05,0,0,0,0,0,0,0,0
10800,0,0,0,153.2,0,0,0,0,0,590,1200,0.05,0,0,0,0,0,0,0,0
3600,0,0,0,125.85,0,0,0,0,0,600,3600,0.05,0.85,2400,0,0.2,0,0,0,22800
0,0,0,0,0,0,0,0,0,0,610,3600,0.05,2.8,2400,0,0,0,0,0,0
4800,0,0,0,65,0,1200,115,0,0,620,4800,0.15,1.9,2400,0,0.3,0,0,0,1614000
0,0,0,0,0,0,0,0,0,0,630,1200,0.1,2.9,2400,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,640,1200,0.2,2.85,2400,0,3.25,0,0,0,8400
7200,0,0,0,113,0,1200,81.95,104,2400,650,2400,0.5,0.9,3600,0,0.5,0,0,0,44400
1200,0,0,0,97,0,9600,74.05,91.9,8400,660,1200,0.6,2.85,2400,0.45,1.1,39.11,8,7200,36000
3600,0,0,0,90,0,9600,66.05,82.85,9600,670,7200,0.6,1,2400,0.2,0.65,31.67,11,3600,24000
19200,0,1,0,60.65,4.35,8400,65.55,68.45,2400,680,1200,1,1.35,7200,0.3,0.9,29.85,58,10800,105600
13200,1200,1,0,48.15,31.35,8400,45.1,77.05,24000,690,6000,1.15,1.35,6000,0.15,1.7,30.17,10,1200,57600
97200,8400,30,23.65,45.75,2.2,1200,47,49.15,8400,700,1200,1.8,1.9,9600,0.35,1.8,26.23,467,31200,710400
22800,0,8,25.42,37.5,5.4,1200,37.9,39.7,2400,710,8400,2.6,2.7,4800,0.35,2.7,24.73,831,135600,322800
99600,4800,20,24.16,29.05,0.65,3600,29.8,30.8,1200,720,4800,4,4.1,3600,0.65,4.05,23.58,1329,20400,903600
136800,49200,130,25.26,22.5,1.75,2400,22,23.1,1200,730,7200,6.2,6.45,9600,0.8,6.55,22.66,1170,66000,427200
153600,56400,874,24.3,15.9,1.35,6000,15.45,16.1,3600,740,8400,9.5,9.85,7200,1.65,9.6,21.18,1119,1200,622800
584400,20400,1503,23.95,10.9,0.95,1200,10.9,11,7200,750,1200,14.2,14.6,8400,1.65,14.9,20.45,383,99600,420000
1165200,55200,2078,24.07,7.1,0.45,2400,7.3,7.4,10800,760,1200,20.3,20.95,4800,1,21.7,22.4,152,100800,235200
838800,36000,1591,24.74,4.9,0.4,6000,4.8,4.9,3600,770,1200,27.35,28.6,1200,2.2,28.5,20.89,15,0,61200
732000,34800,663,25.17,3.15,0.15,7200,3.15,3.3,10800,780,1200,35.15,36.8,2400,4.2,35.8,16.01,10,3600,28800
248400,7200,169,26.57,2.25,0.2,8400,2.1,2.25,16800,790,1200,44,46.45,3600,0,40.15,0,0,0,4800
1142400,63600,388,27.15,1.5,0,2400,1.5,1.55,18000,800,4800,52.15,55.7,3600,1.3,54.6,0,4,4800,24000
138000,12000,55,27.56,0.9,0.15,8400,0.95,1,2400,810,1200,62.45,65.2,1200,0,75.95,0,0,0,21600
318000,16800,56,30.68,0.9,0.05,1200,0.8,0.9,7200,820,9600,68.05,75.6,1200,0,72.45,0,0,0,42000
151200,2400,12,30.8,0.55,0,1200,0.55,0.7,2400,830,9600,77.1,85.35,1200,0,60.65,0,0,0,14400
192000,1200,3,34.06,0.6,0,9600,0.5,0.6,3600,840,9600,87.8,95.25,1200,0,91.8,0,0,0,9600
392400,0,3,35.7,0.5,0.1,13200,0.4,0.5,15600,850,1200,96.05,0,0,0,84,0,0,0,7200
8400,1200,2,34.58,0.25,0,4800,0.05,0.9,2400,860,0,0,0,0,0,0,0,0,0,0
